WARD,All_Res_2005,Single_2005,Condo_2005,2-4_2005,5+_2005,All_Res_2006,Single_2006,Condo_2006,2-4_2006,5+_2006,All_Res_2007,Single_2007,Condo_2007,2-4_2007,5+_2007,All_Res_2008,Single_2008,Condo_2008,2-4_2008,5+_2008,All_Res_2009,Single_2009,Condo_2009,2-4_2009,5+_2009,All_Res_2010,Single_2010,Condo_2010,2-4_2010,5+_2010,All_Res_2011,Single_2011,Condo_2011,2-4_2011,5+_2011,All_Res_2012,Single_2012,Condo_2012,2-4_2012,5+_2012,All_Res_2013,Single_2013,Condo_2013,2-4_2013,5+_2013,All_Res_2014,Single_2014,Condo_2014,2-4_2014,5+_2014,All_Res_2015,Single_2015,Condo_2015,2-4_2015,5+_2015,All_Res_2016,Single_2016,Condo_2016,2-4_2016,5+_2016,All_Res_2017,Single_2017,Condo_2017,2-4_2017,5+_2017
4,141,51,61,28,1,186,57,86,37,6,288,72,172,41,3,363,80,224,55,4,315,66,200,41,8,400,69,276,51,4,329,73,229,26,1,338,75,228,31,4,208,46,146,14,2,129,30,84,10,5,96,27,57,11,1,114,31,67,14,2,106,36,62,8,
40,56,18,19,18,1,91,26,42,23,,148,44,69,32,3,402,55,278,63,6,473,75,288,104,6,418,89,233,90,6,304,58,169,68,9,290,59,160,69,2,132,33,72,26,1,66,20,35,11,,55,12,28,13,2,60,14,27,18,1,47,12,24,10,1
41,57,43,11,3,,77,53,23,1,,170,106,62,1,1,318,159,149,6,4,350,183,162,4,1,420,193,216,8,3,321,177,135,9,,286,156,123,7,,155,97,54,3,1,98,63,33,2,,60,39,20,1,,73,48,23,2,,78,53,21,4,
42,150,1,149,,,183,1,176,,6,248,5,239,2,2,429,5,423,1,,529,7,516,1,5,587,6,580,1,,404,6,395,,3,288,,284,,4,132,2,128,1,1,96,1,94,1,,79,,77,1,1,91,,90,,1,64,1,61,2,
43,33,10,22,1,,62,12,41,8,1,89,11,64,12,2,98,12,78,6,2,192,34,131,26,1,225,20,168,34,3,166,28,118,16,4,143,27,104,10,2,84,8,65,10,1,41,5,27,7,2,41,11,28,2,,48,8,37,3,,36,8,25,3,
44,26,1,23,1,1,40,3,30,6,1,66,6,48,11,1,101,8,75,12,6,153,5,109,36,3,161,11,113,28,9,151,9,114,21,7,142,8,117,17,,63,4,51,7,1,28,2,16,8,2,31,2,25,4,,34,5,22,6,1,29,3,22,4,
45,78,55,5,18,,103,72,13,17,1,188,108,31,48,1,300,175,47,76,2,396,206,76,108,6,477,265,108,100,4,356,199,80,74,3,334,185,73,74,2,223,135,48,37,3,105,65,24,16,,74,48,11,15,,95,58,13,24,,82,54,15,13,
46,53,1,50,1,1,95,1,93,,1,153,1,150,,2,170,2,164,3,1,260,10,237,6,7,289,4,280,4,1,286,5,259,12,10,285,5,275,4,1,135,5,127,2,1,76,3,69,3,1,59,3,54,2,,55,1,49,3,2,56,1,52,3,
47,38,12,13,10,3,52,19,13,18,2,76,21,28,25,2,115,25,45,39,6,168,49,59,58,2,171,44,70,52,5,166,34,77,46,9,139,34,64,37,4,95,11,48,29,7,47,13,19,12,3,37,7,17,12,1,40,12,17,9,2,39,8,15,13,3
48,68,4,62,2,,120,9,100,4,7,163,6,133,19,5,215,10,192,13,,295,17,255,17,6,392,13,357,20,2,329,19,285,12,13,305,13,277,11,4,168,6,156,5,1,102,3,94,4,1,61,2,55,3,1,59,4,51,2,2,74,3,65,5,1
49,71,11,48,12,,106,9,74,18,5,171,24,107,38,2,306,25,250,26,5,424,47,340,31,6,494,49,379,41,25,376,36,312,19,9,356,34,295,19,8,231,21,196,11,3,103,14,85,2,2,86,12,63,10,1,57,3,50,4,,65,10,53,2,
5,153,35,84,28,6,225,57,112,45,11,340,83,167,79,11,373,68,221,74,10,337,66,191,53,27,350,67,213,51,19,339,54,231,44,10,323,66,202,34,21,187,38,117,22,10,156,28,96,23,9,140,27,90,15,8,121,35,55,20,11,121,26,72,20,3
50,48,18,18,11,1,95,34,31,30,,233,49,145,37,2,421,77,301,39,4,622,127,432,59,4,516,129,308,69,10,376,114,206,50,6,341,82,211,44,4,184,67,88,26,3,86,25,47,13,1,64,22,31,10,1,64,22,26,14,2,67,36,23,5,3
6,359,186,9,156,8,542,275,10,237,20,709,360,19,315,15,728,364,28,306,30,583,304,13,228,38,503,271,7,209,16,447,238,7,178,24,527,291,7,199,30,306,167,3,117,19,244,138,1,95,10,223,124,5,86,8,227,136,2,80,9,241,148,2,83,8
7,338,239,15,78,6,510,308,42,149,11,626,386,60,166,14,646,361,91,178,16,553,302,78,144,29,524,321,54,118,31,480,315,61,82,22,550,366,49,114,21,329,219,32,65,13,274,174,29,57,14,247,173,24,46,4,227,154,19,42,12,218,163,18,34,3
8,392,318,7,62,5,497,383,17,88,9,625,450,28,136,11,683,466,50,146,21,561,378,44,107,32,581,418,29,110,24,561,404,40,97,20,588,429,33,105,21,368,264,16,62,26,339,258,9,57,15,304,239,11,46,8,286,222,10,45,9,309,252,8,45,4
9,422,353,,67,2,585,493,,90,2,652,532,,114,6,699,560,,132,7,574,467,2,97,8,569,478,,87,4,464,390,,63,11,602,514,,76,12,388,323,,55,10,286,242,,38,6,284,251,,31,2,279,250,,28,1,298,265,,30,3
